viallabel	90280016302	90422016302	90281016302	90225016302	90218016302	90237016302	90292016302	90239016302	90283016302	90227016302	90449016302	90441016302	90430016302	90439016302	90222016302	90223016302	90423016302	90421016302	90444016302	90217016302	90289016302	90229016302	90450016302	90232016302	90426016302
pid	10095241	10422463	10106383	10025979	10024735	10027327	10220917	10027599	10139044	10026193	10641858	10502300	10561072	10486003	10025626	10025707	10424911	10417702	10587543	10023259	10185585	10026355	10672656	10026789	10503110
bid	90280	90422	90281	90225	90218	90237	90292	90239	90283	90227	90449	90441	90430	90439	90222	90223	90423	90421	90444	90217	90289	90229	90450	90232	90426
ENSRNOG00000000007	2.39651	2.04296	2.53739	2.50626	2.43956	2.07601	2.29223	2.57544	2.22862	2.40519	2.28829	2.20677	2.22861	1.94778	2.14583	2.26413	2.47372	2.31513	2.38159	2.03878	2.29371	2.20242	2.22955	2.54431	1.97472
ENSRNOG00000000009	4.109	4.18597	4.07017	3.99716	4.2164	4.21494	4.03129	4.17249	4.04338	4.12868	4.08072	4.01356	4.02503	4.0587	4.0622	3.89647	4.13239	4.12881	4.14325	4.13616	3.98183	4.17677	4.17338	4.02507	4.04554
ENSRNOG00000000010	0.35371	0.15308	0.03732	-0.52734	-0.33092	0.06221	0.21759	-0.03423	-0.67636	-0.43906	0.62615	-0.17692	0.1971	0.13419	-0.39969	-0.32932	0.06632	-0.33667	-0.16575	0.02003	-0.32219	0.12447	0.29308	-0.25013	-0.17308
ENSRNOG00000000017	0.44581	0.34056	0.40088	0.64131	0.05183	0.79499	0.63266	0.54795	0.64425	0.37144	0.72354	0.07617	0.54476	0.13419	0.35833	0.43157	0.43035	1.06388	-0.0546	0.96907	0.32858	0.5903	0.7912	0.63192	0.33126
ENSRNOG00000000021	4.0564	4.07391	4.12287	4.10484	3.91136	3.93583	4.00303	4.15097	3.97726	4.02142	3.94074	4.09315	3.99079	3.85205	3.94746	4.08956	3.94805	4.1778	4.14906	3.99985	3.86481	4.01394	3.99828	4.0196	3.99807
ENSRNOG00000000024	-0.79629	0.29592	-0.86698	0.008	0.21083	-0.33499	-1.12656	-0.03423	-0.14652	-0.59188	-0.47978	-0.7056	-0.09214	-0.8577	-0.28014	0.10072	-1.16483	0.2925	-0.1091	-0.15081	-0.59275	-0.56776	-0.15129	-0.35997	-1.59862
ENSRNOG00000000033	2.10787	2.31312	2.05347	1.74882	2.1824	1.98737	1.78799	1.88561	1.79577	1.88874	1.7705	1.97742	1.93322	1.86121	2.08032	1.62113	2.03201	1.92069	1.94655	1.77804	2.06132	2.06594	2.25158	1.79091	1.53169
