viallabel	90266016402	90254016402	90567016402	90259016402	90248016402	90581016402	90406016402	90252016402	90559016402	90258016402	90576016402	90585016402	90571016402	90267016402	90416016402	90265016402	90578016402	90587016402	90420016402	90245016402	90412016402	90251016402	90560016402	90564016402
pid	10046380	10044760	10901434	10045309	10043950	10761160	10306471	10044337	10950486	10045228	10729518	10871349	10953744	10046461	10381414	10046119	10734945	10971645	10411690	10043527	10337199	10044256	10700102	10833331
bid	90266	90254	90567	90259	90248	90581	90406	90252	90559	90258	90576	90585	90571	90267	90416	90265	90578	90587	90420	90245	90412	90251	90560	90564
ENSRNOG00000000001	0.43994	0.26024	0.96306	1.36547	0.71758	1.36435	0.27578	0.62715	1.19672	0.54853	2.0914	1.62867	2.04747	1.44565	0.70444	0.94331	1.09661	1.08904	0.51196	0.06753	0.8778	0.27903	0.59717	0.36302
ENSRNOG00000000007	3.56369	-1.24569	3.90415	3.97664	4.33725	3.8222	2.3207	3.02159	2.53657	3.41245	4.18915	3.64206	4.68903	3.68401	3.55482	4.0593	5.50192	3.60182	3.60408	0.58926	3.90862	3.2415	4.24813	3.92936
ENSRNOG00000000008	-1.62661	-1.96903	-0.53015	-1.36084	-2.87542	-1.53007	-1.85694	-2.80544	-1.36639	-1.71906	-0.94537	-0.83592	-1.89482	-1.62887	-1.6934	-1.31732	-2.88128	-2.49199	-1.4565	-3.48771	-1.15909	-0.51848	-2.38964	-1.12833
ENSRNOG00000000010	1.99466	1.39987	2.67218	2.96511	1.85753	0.50343	2.9195	2.12016	4.82934	2.15931	1.72913	3.50661	0.80896	3.94757	2.7134	1.32665	2.6938	2.08886	2.40033	2.66539	2.88687	1.83007	2.32795	2.56947
ENSRNOG00000000012	-1.85252	-0.40685	-0.42903	-1.07361	-1.2548	-1.53007	-0.52154	-1.47933	-1.00035	-1.2092	-1.35753	-1.1764	-0.30723	-1.38877	-3.48771	-1.6293	-0.26124	-0.3254	-1.0519	-1.13799	-1.89717	-2.87845	-1.01191	-0.54029
ENSRNOG00000000017	2.15531	1.81787	1.5384	1.99707	1.69903	4.14581	2.223	2.08394	2.43065	2.13132	4.41248	1.95874	4.36331	1.31594	2.03354	2.41072	1.84092	1.84379	2.36773	1.45269	1.32771	2.32414	1.98302	1.46431
ENSRNOG00000000021	4.43529	4.73889	4.46341	4.70283	4.68681	4.91447	4.59747	4.58355	4.77246	4.61933	4.93687	4.43177	4.90038	4.14311	4.38722	4.55694	4.44446	4.45955	4.54045	4.76747	4.72209	4.69487	4.60575	4.84845
